Disease,Breakfast,Lunch,Dinner,Avoid
Fungal infection,Oatmeal,Rice with Vegetables,Vegetable Soup,Sugary Foods
Allergy,Fruits,Rice and Dal,Vegetable Soup,Allergens
GERD,Oatmeal,Boiled Rice and Vegetables,Vegetable Soup,Spicy Foods
Chronic cholestasis,Fruits,Boiled Vegetables,Soup,Fried Foods
Drug Reaction,Fruits,Khichdi,Vegetable Soup,Alcohol
Peptic ulcer disease,Banana,Rice and Dal,Soft Khichdi,Spicy Foods
AIDS,Protein Shake,Rice and Chicken,Soup,Junk Food
Diabetes,Oats,Brown Rice,Vegetable Salad,Sugar
Gastroenteritis,Toast,Khichdi,Curd Rice,Spicy Foods
Bronchial Asthma,Fruits,Vegetables,Soup,Cold Drinks
Hypertension,Oats,Boiled Vegetables,Soup,High Salt
Migraine,Fruits,Rice and Dal,Soup,Caffeine
Cervical spondylosis,Milk,Oats,Vegetables,Junk Food
Paralysis (brain hemorrhage),Fruits,Protein Rich Diet,Soup,Fried Foods
Jaundice,Coconut Water,Boiled Rice,Vegetable Soup,Alcohol
Malaria,Fruits,Rice and Dal,Soup,Oily Foods
Chicken pox,Fruits,Soft Rice,Soup,Spicy Foods
Dengue,Papaya Leaf Juice,Khichdi,Soup,Oily Foods
Typhoid,Soft Rice,Khichdi,Soup,Street Food
Hepatitis A,Fruits,Boiled Rice,Soup,Alcohol
Hepatitis B,Green Vegetables,Rice,Soup,Alcohol
Hepatitis C,Fruits,Vegetables,Soup,Fatty Foods
Hepatitis D,Fruits,Rice,Soup,Alcohol
Hepatitis E,Coconut Water,Rice,Soup,Street Food
Alcoholic hepatitis,Fruits,Vegetables,Soup,Alcohol
Tuberculosis,Eggs,Rice with Chicken,Milk,Junk Food
Common Cold,Tea,Rice and Dal,Soup,Cold Drinks
Pneumonia,Fruits,Protein Rich Diet,Soup,Cold Drinks
Dimorphic hemorrhoids (piles),High Fiber Cereal,Rice and Dal,Soup,Spicy Foods
Heart attack,Oats,Salad,Soup,Fried Foods
Varicose veins,Fruits,Vegetables,Soup,High Salt
Hypothyroidism,Eggs,Rice and Dal,Vegetables,Junk Food
Hyperthyroidism,Fruits,Vegetables,Soup,Caffeine
Hypoglycemia,Fruit Juice,Rice,Soup,Skipping Meals
Osteoarthritis,Milk,Rice and Dal,Soup,Fried Foods
Arthritis,Fruits,Vegetables,Soup,Processed Foods
Vertigo (Paroxysmal Positional Vertigo),Banana,Rice,Soup,Alcohol
Acne,Fruits,Salad,Soup,Oily Foods
Urinary tract infection,Coconut Water,Rice,Soup,Coffee
Psoriasis,Fruits,Vegetables,Soup,Alcohol
Impetigo,Fruits,Rice,Soup,Junk Food