Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Fungal infection,Keep affected area clean,Keep skin dry,Use antifungal cream,Avoid sharing towels
Allergy,Avoid allergens,Wear a mask,Take antihistamines,Drink plenty of water
GERD,Avoid spicy foods,Eat smaller meals,Do not lie down after eating,Reduce caffeine
Chronic cholestasis,Follow a low-fat diet,Avoid alcohol,Take prescribed medicines,Regular liver checkup
Drug Reaction,Stop the suspected medicine,Consult a doctor,Stay hydrated,Do not self-medicate
Peptic ulcer disease,Avoid spicy food,Take prescribed medication,Avoid smoking,Eat balanced meals
AIDS,Take antiretroviral therapy,Practice safe sex,Maintain good hygiene,Regular medical checkups
Diabetes,Monitor blood sugar,Exercise regularly,Follow a healthy diet,Take medicines on time
Gastroenteritis,Drink ORS solution,Stay hydrated,Eat light food,Maintain hygiene
Bronchial Asthma,Avoid dust and smoke,Carry inhaler,Exercise moderately,Follow doctor's advice
Hypertension,Reduce salt intake,Exercise regularly,Manage stress,Check blood pressure regularly
Migraine,Get adequate sleep,Avoid loud noise,Stay hydrated,Reduce stress
Cervical spondylosis,Maintain good posture,Do neck exercises,Use ergonomic furniture,Consult physiotherapist
Paralysis (brain hemorrhage),Seek emergency care,Regular physiotherapy,Take prescribed medicines,Monitor blood pressure
Jaundice,Drink clean water,Avoid alcohol,Take adequate rest,Follow doctor's advice
Malaria,Use mosquito nets,Take antimalarial drugs,Stay hydrated,Avoid mosquito bites
Chicken pox,Avoid scratching,Stay isolated,Drink fluids,Get enough rest
Dengue,Drink plenty of fluids,Monitor platelet count,Take adequate rest,Avoid painkillers without advice
Typhoid,Drink clean water,Complete antibiotics course,Maintain hygiene,Eat soft food
Hepatitis A,Drink clean water,Take rest,Avoid oily food,Maintain hygiene
Hepatitis B,Avoid alcohol,Take prescribed medicines,Regular liver tests,Practice safe hygiene
Hepatitis C,Take antiviral treatment,Avoid alcohol,Regular medical follow-up,Eat healthy food
Hepatitis D,Follow doctor's treatment,Regular liver monitoring,Avoid alcohol,Healthy diet
Hepatitis E,Drink safe water,Take adequate rest,Maintain hygiene,Eat nutritious food
Alcoholic hepatitis,Stop alcohol consumption,Healthy diet,Regular liver checkup,Take medicines as prescribed
Tuberculosis,Complete TB medication,Cover mouth while coughing,Maintain ventilation,Eat nutritious food
Common Cold,Drink warm fluids,Take rest,Use steam inhalation,Wash hands frequently
Pneumonia,Complete antibiotics course,Drink fluids,Take rest,Consult doctor if breathing worsens
Dimorphic hemorrhoids (piles),Eat high-fiber foods,Drink plenty of water,Avoid prolonged sitting,Exercise regularly
Heart attack,Seek emergency medical care,Take prescribed medicines,Stop smoking,Maintain heart-healthy diet
Varicose veins,Avoid standing for long periods,Exercise regularly,Elevate legs,Wear compression stockings
Hypothyroidism,Take thyroid medicine daily,Exercise regularly,Eat iodine-rich food,Regular thyroid tests
Hyperthyroidism,Take prescribed medicines,Avoid excessive iodine,Regular thyroid tests,Reduce stress
Hypoglycemia,Carry glucose tablets,Eat frequent meals,Monitor blood sugar,Avoid skipping meals
Osteoarthritis,Maintain healthy weight,Exercise regularly,Use supportive footwear,Consult physiotherapist
Arthritis,Exercise regularly,Maintain healthy weight,Take prescribed medicines,Use hot/cold therapy
Vertigo (Paroxysmal Positional Vertigo),Move slowly,Avoid sudden head movements,Perform balance exercises,Consult ENT specialist
Acne,Wash face regularly,Avoid oily cosmetics,Eat healthy food,Do not squeeze pimples
Urinary tract infection,Drink plenty of water,Maintain personal hygiene,Complete antibiotics course,Do not hold urine
Psoriasis,Moisturize skin regularly,Avoid stress,Follow prescribed treatment,Avoid skin injuries
Impetigo,Maintain skin hygiene,Avoid scratching,Use prescribed antibiotics,Wash hands regularly