Disease,Exercise_1,Exercise_2,Exercise_3,Duration
Fungal infection,Walking,Stretching,Yoga,30 Minutes
Allergy,Breathing Exercise,Walking,Yoga,20 Minutes
GERD,Walking,Yoga,Light Stretching,30 Minutes
Chronic cholestasis,Walking,Light Yoga,Deep Breathing,20 Minutes
Drug Reaction,Light Walking,Breathing Exercise,Stretching,20 Minutes
Peptic ulcer disease,Walking,Yoga,Meditation,25 Minutes
AIDS,Walking,Light Strength Training,Yoga,30 Minutes
Diabetes,Brisk Walking,Cycling,Yoga,45 Minutes
Gastroenteritis,Light Walking,Stretching,Breathing Exercise,15 Minutes
Bronchial Asthma,Breathing Exercise,Walking,Yoga,30 Minutes
Hypertension,Walking,Yoga,Meditation,40 Minutes
Migraine,Yoga,Meditation,Walking,20 Minutes
Cervical spondylosis,Neck Stretching,Yoga,Walking,20 Minutes
Paralysis (brain hemorrhage),Physiotherapy,Walking,Balance Training,30 Minutes
Jaundice,Walking,Light Yoga,Stretching,20 Minutes
Malaria,Walking,Stretching,Yoga,15 Minutes
Chicken pox,Light Stretching,Walking,Yoga,15 Minutes
Dengue,Walking,Deep Breathing,Stretching,15 Minutes
Typhoid,Walking,Stretching,Yoga,20 Minutes
Hepatitis A,Walking,Yoga,Breathing Exercise,20 Minutes
Hepatitis B,Walking,Stretching,Yoga,20 Minutes
Hepatitis C,Walking,Stretching,Yoga,20 Minutes
Hepatitis D,Walking,Stretching,Yoga,20 Minutes
Hepatitis E,Walking,Yoga,Breathing Exercise,20 Minutes
Alcoholic hepatitis,Walking,Stretching,Yoga,20 Minutes
Tuberculosis,Breathing Exercise,Walking,Stretching,25 Minutes
Common Cold,Walking,Stretching,Yoga,20 Minutes
Pneumonia,Breathing Exercise,Walking,Stretching,20 Minutes
Dimorphic hemorrhoids (piles),Walking,Yoga,Kegel Exercise,20 Minutes
Heart attack,Cardiac Walking,Light Yoga,Breathing Exercise,30 Minutes
Varicose veins,Walking,Calf Raises,Leg Stretching,25 Minutes
Hypothyroidism,Walking,Cycling,Strength Training,40 Minutes
Hyperthyroidism,Yoga,Walking,Meditation,30 Minutes
Hypoglycemia,Walking,Yoga,Cycling,30 Minutes
Osteoarthritis,Swimming,Walking,Yoga,30 Minutes
Arthritis,Swimming,Yoga,Walking,30 Minutes
Vertigo (Paroxysmal Positional Vertigo),Balance Exercise,Walking,Yoga,20 Minutes
Acne,Jogging,Yoga,Cycling,30 Minutes
Urinary tract infection,Walking,Yoga,Stretching,20 Minutes
Psoriasis,Yoga,Walking,Meditation,30 Minutes
Impetigo,Walking,Stretching,Yoga,20 Minutes